"id","day","duration","order","mean","median","max","sum","min","theorTime","weekend","weekday","currTime","diffTime","perTime","department"
" agerard001",9,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Thursday",23796,-9700.5,-0.29,"Facilities"
" ahafon001",1,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Wednesday",34811,1314.5,0.04,"Facilities"
" ahafon001",10,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Friday",33363,-133.5,0,"Facilities"
" ahafon001",13,0.07,0,0.04,0.035,0.07,0.07,0,33496.5,"workday","Monday",35067,1570.5,0.05,"Facilities"
" ahafon001",2,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Thursday",33840,343.5,0.01,"Facilities"
" ahafon001",3,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Friday",34616,1119.5,0.03,"Facilities"
" ahafon001",31,0.07,0,0.04,0.035,0.07,0.07,0,33496.5,"workday","Tuesday",34335,838.5,0.03,"Facilities"
" ahafon001",6,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Monday",34635,1138.5,0.03,"Facilities"
" ahafon001",7,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Tuesday",34844,1347.5,0.04,"Facilities"
" ahafon001",8,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Wednesday",34807,1310.5,0.04,"Facilities"
" ahafon001",9,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Thursday",33432,-64.5,0,"Facilities"
" amorlun001",1,0.04,0.56,0.3,0.3,0.56,0.6,0.04,33496.5,"workday","Wednesday",26813,-6683.5,-0.2,"Facilities"
" amorlun001",10,0.05,0.56,0.31,0.305,0.56,0.61,0.05,33496.5,"workday","Friday",26993,-6503.5,-0.19,"Facilities"
" amorlun001",13,0.13,0.31,0.22,0.22,0.31,0.44,0.13,33496.5,"workday","Monday",26114,-7382.5,-0.22,"Facilities"
" amorlun001",2,0.03,0.03,0.03,0.03,0.03,0.06,0.03,33496.5,"workday","Thursday",26757,-6739.5,-0.2,"Facilities"
" amorlun001",3,0.04,0.31,0.18,0.175,0.31,0.35,0.04,33496.5,"workday","Friday",27434,-6062.5,-0.18,"Facilities"
" amorlun001",31,0.09,0.03,0.06,0.06,0.09,0.12,0.03,33496.5,"workday","Tuesday",28013,-5483.5,-0.16,"Facilities"
" amorlun001",6,0.1,0.31,0.2,0.205,0.31,0.41,0.1,33496.5,"workday","Monday",27914,-5582.5,-0.17,"Facilities"
" amorlun001",7,0.04,0.31,0.18,0.175,0.31,0.35,0.04,33496.5,"workday","Tuesday",27151,-6345.5,-0.19,"Facilities"
" amorlun001",8,0.05,0.56,0.31,0.305,0.56,0.61,0.05,33496.5,"workday","Wednesday",27535,-5961.5,-0.18,"Facilities"
" amorlun001",9,0.06,0.03,0.05,0.045,0.06,0.09,0.03,33496.5,"workday","Thursday",27921,-5575.5,-0.17,"Facilities"
" anardi001",1,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Wednesday",33257,-239.5,-0.01,"Security"
" anardi001",10,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Friday",33225,-271.5,-0.01,"Security"
" anardi001",13,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Monday",33568,71.5,0,"Security"
" anardi001",2,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Thursday",33437,-59.5,0,"Security"
" anardi001",3,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Friday",33357,-139.5,0,"Security"
" anardi001",31,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Tuesday",33473,-23.5,0,"Security"
" anardi001",6,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Monday",33232,-264.5,-0.01,"Security"
" anardi001",7,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Tuesday",33613,116.5,0,"Security"
" anardi001",8,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Wednesday",33365,-131.5,0,"Security"
" anardi001",9,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Thursday",33524,27.5,0,"Security"
" anubarron001",1,0.1,0,0.05,0.05,0.1,0.1,0,33496.5,"workday","Wednesday",34797,1300.5,0.04,"Engineering"
" anubarron001",10,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Friday",33964,467.5,0.01,"Engineering"
" anubarron001",13,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Monday",33489,-7.5,0,"Engineering"
" anubarron001",2,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Thursday",33304,-192.5,-0.01,"Engineering"
" anubarron001",3,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Friday",33304,-192.5,-0.01,"Engineering"
" anubarron001",31,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Tuesday",35224,1727.5,0.05,"Engineering"
" anubarron001",6,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Monday",35716,2219.5,0.07,"Engineering"
" anubarron001",7,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Tuesday",33740,243.5,0.01,"Engineering"
" anubarron001",8,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Wednesday",34622,1125.5,0.03,"Engineering"
" anubarron001",9,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Thursday",33364,-132.5,0,"Engineering"
" apinckney001",1,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Wednesday",33611,114.5,0,"Engineering"
" apinckney001",10,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Friday",33969,472.5,0.01,"Engineering"
" apinckney001",13,0.08,0,0.04,0.04,0.08,0.08,0,33496.5,"workday","Monday",35109,1612.5,0.05,"Engineering"
" apinckney001",2,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Thursday",34511,1014.5,0.03,"Engineering"
" apinckney001",3,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Friday",35409,1912.5,0.06,"Engineering"
" apinckney001",31,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Tuesday",33909,412.5,0.01,"Engineering"
" apinckney001",6,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Monday",33961,464.5,0.01,"Engineering"
" apinckney001",7,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Tuesday",34089,592.5,0.02,"Engineering"
" apinckney001",8,0.09,0,0.04,0.045,0.09,0.09,0,33496.5,"workday","Wednesday",33138,-358.5,-0.01,"Engineering"
" apinckney001",9,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Thursday",34149,652.5,0.02,"Engineering"
" aribera001",1,0.33,0.48,0.4,0.405,0.48,0.81,0.33,33496.5,"workday","Wednesday",33049,-447.5,-0.01,"Administration"
" aribera001",10,0.07,0.35,0.21,0.21,0.35,0.42,0.07,33496.5,"workday","Friday",30498,-2998.5,-0.09,"Administration"
" aribera001",13,0.23,0.17,0.2,0.2,0.23,0.4,0.17,33496.5,"workday","Monday",25294,-8202.5,-0.24,"Administration"
" aribera001",2,0.08,0.17,0.13,0.125,0.17,0.25,0.08,33496.5,"workday","Thursday",32557,-939.5,-0.03,"Administration"
" aribera001",3,0.11,0.39,0.25,0.25,0.39,0.5,0.11,33496.5,"workday","Friday",29178,-4318.5,-0.13,"Administration"
" aribera001",31,0.08,0.17,0.13,0.125,0.17,0.25,0.08,33496.5,"workday","Tuesday",32510,-986.5,-0.03,"Administration"
" aribera001",6,0.13,0.48,0.3,0.305,0.48,0.61,0.13,33496.5,"workday","Monday",32554,-942.5,-0.03,"Administration"
" aribera001",7,0.22,0.7,0.46,0.46,0.7,0.92,0.22,33496.5,"workday","Tuesday",32645,-851.5,-0.03,"Administration"
" aribera001",8,0.2,0.39,0.3,0.295,0.39,0.59,0.2,33496.5,"workday","Wednesday",32317,-1179.5,-0.04,"Administration"
" aribera001",9,0.08,0.17,0.13,0.125,0.17,0.25,0.08,33496.5,"workday","Thursday",32555,-941.5,-0.03,"Administration"
" avico001",1,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Wednesday",35357,1860.5,0.06,"Engineering"
" avico001",10,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Friday",34457,960.5,0.03,"Engineering"
" avico001",13,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Monday",35167,1670.5,0.05,"Engineering"
" avico001",2,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Thursday",35107,1610.5,0.05,"Engineering"
" avico001",3,0.09,0,0.04,0.045,0.09,0.09,0,33496.5,"workday","Friday",32843,-653.5,-0.02,"Engineering"
" avico001",31,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Tuesday",34499,1002.5,0.03,"Engineering"
" avico001",6,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Monday",35977,2480.5,0.07,"Engineering"
" avico001",7,0.1,0,0.05,0.05,0.1,0.1,0,33496.5,"workday","Tuesday",34031,534.5,0.02,"Engineering"
" avico001",8,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Wednesday",35112,1615.5,0.05,"Engineering"
" avico001",9,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Thursday",34567,1070.5,0.03,"Engineering"
" bfrente001",1,0.05,0.6,0.32,0.325,0.6,0.65,0.05,33496.5,"workday","Wednesday",33059,-437.5,-0.01,"Engineering"
" bfrente001",10,0.03,0.28,0.16,0.155,0.28,0.31,0.03,33496.5,"workday","Friday",33347,-149.5,0,"Engineering"
" bfrente001",13,0.13,0,0.06,0.065,0.13,0.13,0,33496.5,"workday","Monday",35347,1850.5,0.06,"Engineering"
" bfrente001",2,0.08,0.48,0.28,0.28,0.48,0.56,0.08,33496.5,"workday","Thursday",32839,-657.5,-0.02,"Engineering"
" bfrente001",3,0.02,0.6,0.31,0.31,0.6,0.62,0.02,33496.5,"workday","Friday",34379,882.5,0.03,"Engineering"
" bfrente001",31,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Tuesday",32899,-597.5,-0.02,"Engineering"
" bfrente001",6,0.07,0,0.04,0.035,0.07,0.07,0,33496.5,"workday","Monday",35041,1544.5,0.05,"Engineering"
" bfrente001",7,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Tuesday",33585,88.5,0,"Engineering"
" bfrente001",8,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Wednesday",33716,219.5,0.01,"Engineering"
" bfrente001",9,0.03,0.6,0.32,0.315,0.6,0.63,0.03,33496.5,"workday","Thursday",33839,342.5,0.01,"Engineering"
" bhawelon001",1,0.03,0.58,0.31,0.305,0.58,0.61,0.03,33496.5,"workday","Wednesday",35324,1827.5,0.05,"Facilities"
" bhawelon001",10,0.07,0.18,0.13,0.125,0.18,0.25,0.07,33496.5,"workday","Friday",33979,482.5,0.01,"Facilities"
" bhawelon001",13,0.11,0.18,0.15,0.145,0.18,0.29,0.11,33496.5,"workday","Monday",34699,1202.5,0.04,"Facilities"
" bhawelon001",2,0.07,0.24,0.16,0.155,0.24,0.31,0.07,33496.5,"workday","Thursday",32779,-717.5,-0.02,"Facilities"
" bhawelon001",3,0.05,0.18,0.12,0.115,0.18,0.23,0.05,33496.5,"workday","Friday",33799,302.5,0.01,"Facilities"
" bhawelon001",31,0.01,0.55,0.28,0.28,0.55,0.56,0.01,33496.5,"workday","Tuesday",34579,1082.5,0.03,"Facilities"
" bhawelon001",6,0.02,0.24,0.13,0.13,0.24,0.26,0.02,33496.5,"workday","Monday",34399,902.5,0.03,"Facilities"
" bhawelon001",7,0.06,0.58,0.32,0.32,0.58,0.64,0.06,33496.5,"workday","Tuesday",33167,-329.5,-0.01,"Facilities"
" bhawelon001",8,0.04,0.24,0.14,0.14,0.24,0.28,0.04,33496.5,"workday","Wednesday",35642,2145.5,0.06,"Facilities"
" bhawelon001",9,0.06,0.18,0.12,0.12,0.18,0.24,0.06,33496.5,"workday","Thursday",34743,1246.5,0.04,"Facilities"
" bmullen001",1,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Wednesday",33978,481.5,0.01,"Facilities"
" bmullen001",10,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Friday",34862,1365.5,0.04,"Facilities"
" bmullen001",13,0.09,0,0.04,0.045,0.09,0.09,0,33496.5,"workday","Monday",35479,1982.5,0.06,"Facilities"
" bmullen001",2,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Thursday",33542,45.5,0,"Facilities"
" bmullen001",3,0.07,0,0.04,0.035,0.07,0.07,0,33496.5,"workday","Friday",33362,-134.5,0,"Facilities"
" bmullen001",31,0.1,0,0.05,0.05,0.1,0.1,0,33496.5,"workday","Tuesday",33975,478.5,0.01,"Facilities"
" bmullen001",6,0.07,0,0.04,0.035,0.07,0.07,0,33496.5,"workday","Monday",35617,2120.5,0.06,"Facilities"
" bmullen001",7,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Tuesday",34202,705.5,0.02,"Facilities"
" bmullen001",8,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Wednesday",34742,1245.5,0.04,"Facilities"
" bmullen001",9,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Thursday",34550,1053.5,0.03,"Facilities"
" bovan001",1,0.32,0.48,0.4,0.4,0.48,0.8,0.32,33496.5,"workday","Wednesday",30754,-2742.5,-0.08,"Executive"
" bovan001",10,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Friday",32826,-670.5,-0.02,"Executive"
" bovan001",13,0,0,0,0,0,0,0,33496.5,"workday","Monday",32576,-920.5,-0.03,"Executive"
" bovan001",2,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Thursday",32826,-670.5,-0.02,"Executive"
" bovan001",3,0.32,0.56,0.44,0.44,0.56,0.88,0.32,33496.5,"workday","Friday",34686,1189.5,0.04,"Executive"
" bovan001",31,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Tuesday",32821,-675.5,-0.02,"Executive"
" bovan001",6,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Monday",32821,-675.5,-0.02,"Executive"
" bovan001",7,0.31,0.48,0.4,0.395,0.48,0.79,0.31,33496.5,"workday","Tuesday",30759,-2737.5,-0.08,"Executive"
" bovan001",8,0.02,0.48,0.25,0.25,0.48,0.5,0.02,33496.5,"workday","Wednesday",33301,-195.5,-0.01,"Executive"
" bovan001",9,0.32,0.48,0.4,0.4,0.48,0.8,0.32,33496.5,"workday","Thursday",30755,-2741.5,-0.08,"Executive"
" bridenour001",1,0.08,0.44,0.26,0.26,0.44,0.52,0.08,33496.5,"workday","Wednesday",32463,-1033.5,-0.03,"Engineering"
" bridenour001",10,0.08,0.33,0.2,0.205,0.33,0.41,0.08,33496.5,"workday","Friday",36297,2800.5,0.08,"Engineering"
" bridenour001",13,0.05,0.26,0.16,0.155,0.26,0.31,0.05,33496.5,"workday","Monday",35504,2007.5,0.06,"Engineering"
" bridenour001",2,0.02,0.26,0.14,0.14,0.26,0.28,0.02,33496.5,"workday","Thursday",35035,1538.5,0.05,"Engineering"
" bridenour001",3,0.04,0.33,0.18,0.185,0.33,0.37,0.04,33496.5,"workday","Friday",35264,1767.5,0.05,"Engineering"
" bridenour001",31,0.02,0.33,0.18,0.175,0.33,0.35,0.02,33496.5,"workday","Tuesday",35042,1545.5,0.05,"Engineering"
" bridenour001",6,0.1,0.19,0.14,0.145,0.19,0.29,0.1,33496.5,"workday","Monday",33284,-212.5,-0.01,"Engineering"
" bridenour001",7,0.06,0.44,0.25,0.25,0.44,0.5,0.06,33496.5,"workday","Tuesday",35864,2367.5,0.07,"Engineering"
" bridenour001",8,0.13,0.44,0.28,0.285,0.44,0.57,0.13,33496.5,"workday","Wednesday",33416,-80.5,0,"Engineering"
" bridenour001",9,0.04,0.19,0.11,0.115,0.19,0.23,0.04,33496.5,"workday","Thursday",34424,927.5,0.03,"Engineering"
" btempestad001",1,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Wednesday",34921,1424.5,0.04,"Engineering"
" btempestad001",10,0.07,0,0.04,0.035,0.07,0.07,0,33496.5,"workday","Friday",32759,-737.5,-0.02,"Engineering"
" btempestad001",13,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Monday",34519,1022.5,0.03,"Engineering"
" btempestad001",2,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Thursday",33717,220.5,0.01,"Engineering"
" btempestad001",3,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Friday",34557,1060.5,0.03,"Engineering"
" btempestad001",31,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Tuesday",33981,484.5,0.01,"Engineering"
" btempestad001",6,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Monday",35400,1903.5,0.06,"Engineering"
" btempestad001",7,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Tuesday",34685,1188.5,0.04,"Engineering"
" btempestad001",8,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Wednesday",34325,828.5,0.02,"Engineering"
" btempestad001",9,0.09,0,0.04,0.045,0.09,0.09,0,33496.5,"workday","Thursday",34362,865.5,0.03,"Engineering"
" cforluniau001",1,0.68,0.26,0.47,0.47,0.68,0.94,0.26,33496.5,"workday","Wednesday",29194,-4302.5,-0.13,"Administration"
" cforluniau001",10,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Friday",32517,-979.5,-0.03,"Administration"
" cforluniau001",13,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Monday",32847,-649.5,-0.02,"Administration"
" cforluniau001",2,0.15,0,0.08,0.075,0.15,0.15,0,33496.5,"workday","Thursday",32815,-681.5,-0.02,"Administration"
" cforluniau001",3,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Friday",32816,-680.5,-0.02,"Administration"
" cforluniau001",31,0.01,0,0,0.005,0.01,0.01,0,33496.5,"workday","Tuesday",32516,-980.5,-0.03,"Administration"
" cforluniau001",6,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Monday",32816,-680.5,-0.02,"Administration"
" cforluniau001",7,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Tuesday",32837,-659.5,-0.02,"Administration"
" cforluniau001",8,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Wednesday",32538,-958.5,-0.03,"Administration"
" cforluniau001",9,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Thursday",32837,-659.5,-0.02,"Administration"
" chawelon001",1,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Wednesday",33976,479.5,0.01,"Facilities"
" chawelon001",10,0.08,0,0.04,0.04,0.08,0.08,0,33496.5,"workday","Friday",33249,-247.5,-0.01,"Facilities"
" chawelon001",13,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Monday",33681,184.5,0.01,"Facilities"
" chawelon001",2,0.07,0,0.04,0.035,0.07,0.07,0,33496.5,"workday","Thursday",33796,299.5,0.01,"Facilities"
" chawelon001",3,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Friday",33436,-60.5,0,"Facilities"
" chawelon001",31,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Tuesday",34987,1490.5,0.04,"Facilities"
" chawelon001",6,0.08,0,0.04,0.04,0.08,0.08,0,33496.5,"workday","Monday",35896,2399.5,0.07,"Facilities"
" chawelon001",7,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Tuesday",35116,1619.5,0.05,"Facilities"
" chawelon001",8,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Wednesday",34807,1310.5,0.04,"Facilities"
" chawelon001",9,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Thursday",33252,-244.5,-0.01,"Facilities"
" ckinney001",1,0.06,0,0.03,0.03,0.06,0.06,0,33496.5,"workday","Wednesday",32670,-826.5,-0.02,"Facilities"
" ckinney001",10,0.05,0.43,0.24,0.24,0.43,0.48,0.05,33496.5,"workday","Friday",34754,1257.5,0.04,"Facilities"
" ckinney001",13,0.08,0.43,0.26,0.255,0.43,0.51,0.08,33496.5,"workday","Monday",33930,433.5,0.01,"Facilities"
" ckinney001",2,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Thursday",34665,1168.5,0.03,"Facilities"
" ckinney001",3,0.04,0.26,0.15,0.15,0.26,0.3,0.04,33496.5,"workday","Friday",33559,62.5,0,"Facilities"
" ckinney001",31,0.04,0.26,0.15,0.15,0.26,0.3,0.04,33496.5,"workday","Tuesday",35869,2372.5,0.07,"Facilities"
" ckinney001",6,0.03,0,0.02,0.015,0.03,0.03,0,33496.5,"workday","Monday",35179,1682.5,0.05,"Facilities"
" ckinney001",7,0.07,0,0.04,0.035,0.07,0.07,0,33496.5,"workday","Tuesday",32567,-929.5,-0.03,"Facilities"
" ckinney001",8,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Wednesday",33660,163.5,0,"Facilities"
" ckinney001",9,0.04,0.65,0.34,0.345,0.65,0.69,0.04,33496.5,"workday","Thursday",34750,1253.5,0.04,"Facilities"
" clais001",1,0.53,0.46,0.5,0.495,0.53,0.99,0.46,33496.5,"workday","Wednesday",32820,-676.5,-0.02,"Administration"
" clais001",10,0.09,0.34,0.21,0.215,0.34,0.43,0.09,33496.5,"workday","Friday",30735,-2761.5,-0.08,"Administration"
" clais001",13,0.07,0.22,0.14,0.145,0.22,0.29,0.07,33496.5,"workday","Monday",32855,-641.5,-0.02,"Administration"
" clais001",2,0.09,0.2,0.14,0.145,0.2,0.29,0.09,33496.5,"workday","Thursday",32746,-750.5,-0.02,"Administration"
" clais001",3,0.12,0.34,0.23,0.23,0.34,0.46,0.12,33496.5,"workday","Friday",30944,-2552.5,-0.08,"Administration"
" clais001",31,0.16,0.71,0.44,0.435,0.71,0.87,0.16,33496.5,"workday","Tuesday",32144,-1352.5,-0.04,"Administration"
" clais001",6,0.23,0.27,0.25,0.25,0.27,0.5,0.23,33496.5,"workday","Monday",30826,-2670.5,-0.08,"Administration"
" clais001",7,0.1,0.37,0.24,0.235,0.37,0.47,0.1,33496.5,"workday","Tuesday",31546,-1950.5,-0.06,"Administration"
" clais001",8,0.18,0.37,0.28,0.275,0.37,0.55,0.18,33496.5,"workday","Wednesday",31666,-1830.5,-0.05,"Administration"
" clais001",9,0.15,0.15,0.15,0.15,0.15,0.3,0.15,33496.5,"workday","Thursday",32446,-1050.5,-0.03,"Administration"
" cmorluniau001",1,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Wednesday",33192,-304.5,-0.01,"Facilities"
" cmorluniau001",10,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Friday",34507,1010.5,0.03,"Facilities"
" cmorluniau001",13,0.11,0,0.06,0.055,0.11,0.11,0,33496.5,"workday","Monday",35289,1792.5,0.05,"Facilities"
" cmorluniau001",2,0.04,0,0.02,0.02,0.04,0.04,0,33496.5,"workday","Thursday",33917,420.5,0.01,"Facilities"
" cmorluniau001",3,0.09,0,0.04,0.045,0.09,0.09,0,33496.5,"workday","Friday",35625,2128.5,0.06,"Facilities"
" cmorluniau001",31,0.07,0,0.04,0.035,0.07,0.07,0,33496.5,"workday","Tuesday",32417,-1079.5,-0.03,"Facilities"
" cmorluniau001",6,0.02,0,0.01,0.01,0.02,0.02,0,33496.5,"workday","Monday",33601,104.5,0,"Facilities"
" cmorluniau001",7,0.05,0,0.02,0.025,0.05,0.05,0,33496.5,"workday","Tuesday",34690,1193.5,0.04,"Facilities"
